Run_ID	Bag	sample	Depth	d17	d18	dD
HKDS2004_Fast_IsoWater_20181103_173140	2206	15	1213.125	-20.1538	-38.0203	-297.8258
HKDS2004_Fast_IsoWater_20181103_173140	2206	16	1213.150	-20.3557	-38.3120	-300.6605
HKDS2004_Fast_IsoWater_20181103_173140	2206	17	1213.175	-20.5381	-38.6698	-303.6671
HKDS2004_Fast_IsoWater_20181103_173140	2206	18	1213.200	-20.5938	-38.8564	-305.1605
HKDS2004_Fast_IsoWater_20181103_173140	2206	19	1213.225	-20.5891	-38.6950	-303.7775
HKDS2004_Fast_IsoWater_20181103_173140	2206	20	1213.250	-20.3006	-38.2100	-300.4721
HKDS2004_Fast_IsoWater_20181103_173140	2206	21	1213.275	-19.9425	-37.5478	-294.0036
HKDS2004_Fast_IsoWater_20181103_173140	2206	22	1213.300	-19.3715	-36.4845	-284.1054
HKDS2004_Fast_IsoWater_20181103_173140	2207	1	1213.325	-19.1583	-36.0008	-279.1043
HKDS2004_Fast_IsoWater_20181103_173140	2207	2	1213.350	-19.0817	-35.8344	-278.6013
HKDS2004_Fast_IsoWater_20181103_173140	2207	3	1213.375	-19.3686	-36.4216	-283.2090
HKDS2004_Fast_IsoWater_20181103_173140	2207	4	1213.400	-19.7551	-37.2097	-291.1626
HKDS2004_Fast_IsoWater_20181103_173140	2207	5	1213.425	-20.1529	-37.9289	-297.0851
HKDS2004_Fast_IsoWater_20181103_173140	2207	6	1213.450	-20.3759	-38.2771	-299.9142
HKDS2004_Fast_IsoWater_20181103_173140	2207	7	1213.475	-20.3485	-38.2902	-301.3824
HKDS2004_Fast_IsoWater_20181103_173140	2207	8	1213.500	-20.1995	-38.0398	-299.5560
HKDS2004_Fast_IsoWater_20181103_173140	2207	9	1213.525	-19.7674	-37.2267	-292.3238
HKDS2004_Fast_IsoWater_20181103_173140	2207	10	1213.550	-19.4461	-36.5404	-284.6310
HKDS2004_Fast_IsoWater_20181103_173140	2207	11	1213.575	-19.1920	-36.1152	-281.7205
HKDS2004_Fast_IsoWater_20181103_173140	2207	12	1213.600	-19.4171	-36.4871	-284.7379
HKDS2004_Fast_IsoWater_20181103_173140	2207	13	1213.625	-19.7189	-37.1711	-291.5597
HKDS2004_Fast_IsoWater_20181103_173140	2207	14	1213.650	-19.8833	-37.4676	-294.5280
HKDS2004_Fast_IsoWater_20181103_173140	2207	15	1213.675	-19.8524	-37.4123	-293.6125
HKDS2004_Fast_IsoWater_20181103_173140	2207	16	1213.700	-19.8121	-37.2232	-291.6634
HKDS2004_Fast_IsoWater_20181103_173140	2207	17	1213.725	-19.7586	-37.1902	-291.2130
HKDS2004_Fast_IsoWater_20181103_173140	2207	18	1213.750	-19.8260	-37.2363	-292.2896
HKDS2004_Fast_IsoWater_20181103_173140	2207	19	1213.775	-19.7217	-37.0807	-291.1055
HKDS2004_Fast_IsoWater_20181103_173140	2207	20	1213.800	-19.4014	-36.5257	-285.2039
HKDS2004_Fast_IsoWater_20181103_173140	2207	21	1213.825	-19.1608	-36.0312	-279.6600
HKDS2004_Fast_IsoWater_20181103_173140	2207	22	1213.850	-19.0899	-35.8139	-278.3539
HKDS2004_Fast_IsoWater_20181103_173140	2208	1	1213.875	-19.2379	-36.2225	-281.4947
HKDS2004_Fast_IsoWater_20181103_173140	2208	2	1213.900	-19.5302	-36.6992	-284.9542
HKDS2004_Fast_IsoWater_20181103_173140	2208	3	1213.925	-19.7557	-37.1653	-289.0339
HKDS2004_Fast_IsoWater_20181103_173140	2208	4	1213.950	-20.1270	-37.7679	-295.3596
HKDS2004_Fast_IsoWater_20181103_173140	2208	5	1213.975	-20.1541	-37.8969	-296.2544
HKDS2004_Fast_IsoWater_20181105_075053	2208	6	1214.000	-19.8557	-37.4849	-292.4255
HKDS2004_Fast_IsoWater_20181105_075053	2208	7	1214.025	-19.7199	-37.1043	-288.4079
HKDS2004_Fast_IsoWater_20181105_075053	2208	8	1214.050	-19.6476	-36.9156	-286.1609
