depth	Ca	NH4	CH2O	H2O2	density	accumulation
8.348	23.63	4.57	10.62	116.27		23.63
8.35	24.72	4.54	11.31	115.48		24.72
8.352	26.53	4.62	11.87	114.86		26.53
8.354	28.79	4.76	12.34	113.7		28.79
8.356	32.01	4.98	12.66	113.01		32.01
8.358	35.29	5.31	12.63	112.45		35.29
8.36	37.93	5.77	12.66	111.8		37.93
8.362	39.79	6.27	12.38	110.94		39.79
8.364	42.29	6.78	12.11	110.23		42.29
8.366	45.43	7.26	11.8	109.19		45.43
8.368	49.63	7.59	11.44	107.87		49.63
8.37	52.24	7.83	11.2	106.89		52.24
8.372	53.91	8.01	10.96	106.27		53.91
8.374	55.36	8.15	10.79	105.69		55.36
8.376	55.35	8.28	10.48	104.84		55.35
8.378	56.17	8.36	10.27	103.81		56.17
8.38	56.97	8.38	10.16	102.85		56.97
8.382	57.3	8.36	9.88	102.64		57.3
8.384	57.14	8.33	9.76	102.05		57.14
8.386	57.27	8.25	9.59	101.31		57.27
8.388	56.4	8.21	9.52	100.58		56.4
8.39	55.43	8.18	9.35	99.54		55.43
8.392	53.96	8.16	9.15	37.31		53.96
8.394	51.87	8.13	9.09	0		51.87
8.396	48.94	8.04	9	0		48.94
8.398	46.26	7.88	8.9	0		46.26
8.4	44.02	7.67	8.82	0		44.02
8.402	41.69	7.36	8.88	0		41.69
8.404	39	7.12	8.76	0		39
8.406	36.74	6.91	8.72	0		36.74
8.408	34.71	6.72	8.72	0		34.71
8.41	33.02	6.56	8.69	0		33.02
8.412	31.66	6.43	8.67	0		31.66
8.414	30.17	6.32	8.59	77.17		30.17
8.416	29.22	6.22	8.47	89.49		29.22
8.418	28.23	6.15	8.46	89.36		28.23
8.42	27.25	6.15	8.33	89.41		27.25
8.422	26.4	6.2	8.24	89.31		26.4
8.424	25.82	6.23	8.27	89.49		25.82
8.426	25.52	6.26	8.17	89.56		25.52
8.428	24.94	6.29	8.12	89.3		24.94
8.43	24.68	6.34	8.05	89.12		24.68
8.432	24.17	6.38	8.12	89.11		24.17
8.434	24.21	6.44	7.99	88.93		24.21
8.436	23.66	6.51	8.1	89.09		23.66
8.438	23.63	6.58	8.04	89.71		23.63
8.44	23.42	6.63	8.09	88.7		23.42
8.442	23.24	6.76	8.03	0		23.24
8.444	22.75	7.03	8.08	0		22.75
8.446	22.25	7.47	8.14	0		22.25
8.448	20.36	7.89	8.23	0		20.36
8.45	21.04	8.17	8.32	0		21.04
8.452	19.83	8.19	8.48	0		19.83
8.454	19.86	7.99	8.56	0		19.86
8.456	18.92	7.63	8.6	0		18.92
8.458	18.16	7.26	8.66	0		18.16
8.46	17.33	6.87	8.57	0		17.33
8.462	17.08	6.57	8.58	0		17.08
8.464	16.17	6.26	8.47	0		16.17
8.466	15.4	5.95	8.49	0		15.4
8.468	14.83	5.66	8.3	0		14.83
8.47	14.33	5.39	8.26	0		14.33
8.472	14.04	5.19	8.14	0		14.04
8.474	13.73	5	8.02	0		13.73
8.476	13.27	4.82	8.02	0		13.27
