depth	ECM
15.035	13.956
15.045	11.889
15.055	10.62
15.065	14.233
15.075	16.918
15.085	22.241
15.095	21.948
15.105	23.266
15.115	29.125
15.125	30.395
15.135	32.397
15.145	37.101
15.155	40.112
15.165	40.388
15.175	40.014
15.185	40.258
15.195	34.887
15.205	37.166
15.215	32.055
15.225	30.59
15.235	31.811
15.245	29.711
15.255	27.075
15.265	30.639
15.275	27.172
15.285	30.981
15.295	31.371
15.305	32.348
15.315	32.983
15.325	31.274
15.335	34.838
15.345	28.93
15.355	31.323
15.365	34.952
15.375	36.547
15.385	39.623
15.395	38.061
15.405	35.375
15.415	34.985
15.425	33.813
15.435	30.395
15.445	28.637
15.455	22.875
15.465	23.168
15.475	22.648
15.485	19.311
15.495	23.412
15.505	21.443
15.515	23.559
15.525	22.729
15.535	22.81
15.545	29.858
15.555	30.493
15.565	33.227
15.575	26.83
15.585	31.567
15.595	24.145
15.605	29.516
15.615	32.299
15.625	23.233
15.635	25.1295
15.645	27.026
15.655	21.996
15.665	25.61
15.675	27.205
15.685	30.444
15.695	30.444
15.705	25.838
15.715	26.049
15.725	20.776
15.735	19.995
15.745	24.389
15.755	25.382
15.765	25.707
15.775	23.559
15.785	18.237
15.795	18.188
15.805	19.881
15.815	22.094
15.825	28.002
15.835	30.688
15.845	33.764
15.855	34.236
15.865	34.106
15.875	31.371
15.885	24.438
15.895	23.592
15.905	21.215
15.915	17.651
15.925	19.848
15.935	21.704
15.945	18.969
15.955	20.336
15.965	28.246
15.975	29.4222
15.9845	30.5984
16.005	31.7746
16.015	32.9508
16.025	34.127
16.035	37.155
16.045	45.114
16.055	41.386
16.065	41.061
16.075	42.086
16.085	35.153
16.095	36.959
16.105	36.08
16.115	34.909
16.125	37.675
16.135	35.592
16.145	32.955
16.155	35.983
16.165	41.207
16.175	34.811
16.185	33.8343
16.195	32.8577
16.205	31.881
16.215	38.034
16.225	36.666
16.235	35.104
16.245	34.16
16.255	31.491
16.265	29.342
16.275	25.924
16.285	24.85
16.295	28.512
16.305	26.364
16.315	24.118
16.325	30.97
16.335	22.36
16.345	29.098
16.355	33.021
16.365	33.639
16.375	35.787
16.385	32.467
16.395	29.407
16.405	26.51
16.415	33.395
16.425	30.612
16.435	28.024
16.445	26.461
16.455	24.948
16.465	30.091
16.475	33.688
16.485	35.934
16.495	29.977
16.505	27.812
16.515	20.797
16.525	21.09
16.535	17.037
16.545	16.452
16.555	18.795
16.565	20.407
16.575	22.506
16.585	25.078
16.595	20.407
16.605	18.502
16.615	17.135
16.625	17.428
16.635	19.284
16.645	19.43
16.655	19.918
16.665	19.528
16.675	21.334
16.685	24.362
16.695	20.944
16.705	17.07
16.715	22.702
16.725	24.752
16.735	32.858
16.745	30.905
16.755	25.241
16.765	29.098
16.775	22.799
16.785	23.873
16.795	20.309
16.805	18.34
16.815	16.012
16.825	16.012
16.835	16.403
16.845	15.833
16.855	11.862
16.865	15.866
16.875	16.793
16.885	18.177
16.895	12.057
16.905	16.598
16.915	17.851
16.925	20.944
16.935	20.797
16.945	19.381
16.955	23.32
16.965	26.461
16.975	27.047
16.985	30.208
16.995	33.369
17	36.53
