depth	MSA	Cl	Clx	Br	NO3	SO4	SO4nss	Na	NH4	K	Mg	Ca	F	pH
19.56	2.03234	82.8489	15.9895	0.707326	52.8484	225.703	216.327	37.2061	4.49032	3.98053	13.0643	44.6561	2.32636	2.901
19.585	2.95971	9.85422	1.68838	0	88.904	54.9947	53.8496	4.54415	6.46804	2.16696	5.4355	8.01411	0.796607	
19.61	3.2667	9.65471	-0.0747871	0	83.8668	43.1891	41.8247	5.4143	14.1402	2.8815	5.95813	4.06003	2.07918	1.66824
19.635	3.36823	19.6282	6.82095	0	116.509	60.2874	58.4914	7.12702	11.0482	2.44842	7.36249	4.31371	1.80796	1.47
19.66	2.91628	16.4463	5.43903	0	119.374	71.2107	69.6671	6.12536	10.2659	2.34143	6.55966	4.8141	3.11321	
35.59	2	42	8.5537	0	44	47	42.3097	18.6123	17.8291	3.26858	11.6709	12.3461	3	-0.756972
35.611	2.9085	8.76844	-0.56852		70.7558	26.8485	25.5391	5.19586	11.3199	1.55256	5.8206	6.93734	1.1654	0.506696
35.632	1.98781	8.68196	2.24832	2.26239	135.356	54.9231	54.0209	3.58021	47.6147	1.8181	5.54572	3.99071	1.65524	0.950171
35.653	1	5	-0.854285	0		25	24.179	3.25781	14.6951	6.09935	3.80012	2.5163	2	0.99
35.674	1.19269	10.3288	6.9558	0	71.4039	36.3544	35.8814	1.87702	7.03253	1.20211	6.02456	3.50718	0.760412	1.19518
35.695	1.37788	24.3154	19.2763	0	73.6375	42.8516	42.145	2.80415	6.45015	2.04916	12.4674	3.35409	1.58382	0.985
35.716	2.94605	89.8329	12.6694	0	56.3907	59.0462	48.2253	42.9402	10.5459	5.12122	11.1071	18.5406	2.48743	
35.737	4.40874	98.2005	22.1937	0	57.9711	47.2445	36.5858	42.2965	9.19681	4.09417	10.1056	17.329	1.68115	
35.758	4.9865	97.9959	23.9546	0	66.0827	50.6296	40.2465	41.2027	7.71371	3.46443	11.0684	16.7214	1.8477	1.46
35.779	4.45289	100.628	23.628	0	63.4701	46.0124	35.2144	42.8492	9.05226	4.68344	9.32278	18.494	3.24226	
35.8	2.74491	99.8324	13.7406	0	68.8083	51.9868	39.9138	47.9086	5.49849	1.79156	18.6643	6.71758	1.09149	
35.821	1.86083	8.52567	4.93167	1.0123	96.1836	35.7973	35.2933	2	17	2	8	2	0.848147	1.3634
35.842	2.16213	11.3534	3.98	1.86545	101.653	76.2117	75.1777	4.10317	8.38293	2.84288	5.6893	3.98428	1.42537	0.769011
35.863	3.35878	21.6746	-3.17162	1.17523	83.6289	87.2186	83.7343	13.8265	12.4859	5.23193	6.32277	13.9245	1.66764	1.32883
35.884	4.47921	98.7967	-51.0591	0.567167	60.0067	91.8487	70.8339	83.3922	9.62058	19.5114	14.3196	13.2764	1.64349	-3.39609
35.905	4.85494	112.082	-42.46	0	49.5924	59.1567	37.4847	86	11	29	18	6	6.54816	
35.926	4.46257	46.9865	-7.10823	0.704326	54.8676	39.1232	31.5373	30.1028	12.3886	9.49712	7.56939	6.90232	1.41456	4.506
35.947	4	16	0.598722	1.56278	48	4	1.84022	8.57055	22.8273	6.14371	7.80514	6.54681	2	0.268
35.972	0	2	-28.7634	0	3	0	-4.31406	17.1193	7.17792	8.91547	5.33039	10.1607	0	0.323392
36	3.34713	10.3854	3.71833	1.73313	43.8825	81.5304	80.5955	3.71011	2.89716	2.34691	6.28045	2.05902	4.17857	2.08729
36.021	3.76487	84.7346	73.9526	3.37301	106.472	185.349	183.837	6	12	3	6	12	9.73328	1.69519
36.042	0.850813	5.29277	-5.48923	0	12.148	26.0094	24.4974	6	6	2	5	13	0	
36.063	3.04766	63.3996	22.0686	2.06599	4.78637	296.15	290.354	23	9	3	8	11	3.08669	3.90714
36.084	2	84	22.902	4.76768		420	411.432	34	5	2	10	20	2	
36.105	3	34	21.421	4.73858	96	288	286.236	7	14	2	4	6	3	5.17
36.126	2	29	20.015	3.35224	87	276	274.74	5	11	2	5	3	1	5.92
36.147	2	82	20.6236	0	47	428	419.393	34.1549	8.21131	2.50965	11.5975	19.4667	3	5.68
36.168	3	76	25.7203	1.40398	56	323	315.949	27.9798	8.91157	2.09152	9.33113	11.8237		4.86
36.189	3.13508	63.2717	25.998	0	31.014	219.533	214.306	20.7422	5.15175	2.26626	7.89994	4.8967	3.23136	3.88552
36.209	3.28536	78.1255	17.719	4.81008	18.8422	226.41	217.939	33.6152	11.9279	3.02538	11.3209	7.2395	2.25918	2.78608
36.229	3	33	9.639	0	80	104	100.724	13	20	10	6	1	2	0.445715
36.249	3	51	27.1791	66.5457	59	116	112.66	13.2559	10.2098	1.85751	7.24182	4.91783	2	1.11635
36.27	2	119	46.1237	0	38	165	154.78	40.5544	9.01427	2.29359	11.6069	9.86915	2	1.94144
36.291	11	141	48.8502	0	2	130	117.077	51.2798	10.4197	2.97442	12.6887	8.21655	6	
36.312	2	133	57.9648	0	26	115	104.478	41.7558	6.55622	1.85625	12.031	10.6075	2	0.36
36.337	2	94	41.2431	0	44	60	52.6017	29.3583	9.89221	1.40314	14.8826	0	2	0.68
36.362	5	92	84.812	0	38	14	12.992	4	8	3	41	4	2	0.170442
36.383	8	396	-49.656	0		77	14.504	248	14	7	31	14	4	-1.22
36.404	8	462	-107.649	0	1	85	5.116	317	12	8	32	21	4	-2.16
36.425	7	460	-104.258	0		108	28.872	314	10	8	24	33	5	
