depth	d18O
51.7483	-36.1329
51.776	-35.8958
51.8037	-35.6999
51.8314	-35.5611
51.8591	-35.8214
51.8869	-35.8778
51.9146	-36.1397
51.9423	-36.3826
51.97	
52	-37.6964
52.0278	-37.4102
52.0556	-37.8097
52.0833	-37.7686
52.1111	-37.5866
52.1389	-37.1111
52.1667	-36.4703
52.1944	-36.0271
52.2222	-35.7147
52.25	-35.3436
52.2778	-35.0844
52.3056	-34.8523
52.3333	-34.5407
52.3611	-34.4456
52.3889	-34.4283
52.4167	-34.4436
52.4444	-34.6792
52.4722	-34.8105
52.5	-34.9238
52.5278	-34.9725
52.5556	-35.2421
52.5833	-35.383
52.6111	-35.4481
52.6389	-35.5365
52.6667	-35.6153
52.6944	-35.4888
52.7222	-35.6986
52.75	-35.785
52.7778	-35.8147
52.8056	-35.7794
52.8333	-35.8022
52.8611	-36.1085
52.8889	-36.0119
52.9167	-36.2917
52.9444	-36.3953
52.9722	-36.2907
53	-34.9991
53.0278	-35.0356
53.0556	-35.139
53.0833	-35.2998
53.1111	-35.0986
53.1389	
53.1667	-35.195
53.1944	-34.8867
53.2222	-35.0896
53.25	-35.1487
53.2778	-35.0732
53.3056	-35.066
53.3333	-35.2964
53.3611	
53.3889	-35.3561
53.4167	-35.6622
53.4444	-35.8102
53.4722	-35.5558
53.5	-35.7911
53.5278	-35.8243
53.5556	
53.5833	-35.7374
53.6111	-35.4147
53.6389	-35.251
53.6667	-35.0619
53.6944	-34.7101
53.7222	-34.5508
53.75	-34.536
53.7778	
53.8056	-33.2013
53.8333	-35.3201
53.8611	-35.6015
53.8889	-36.1346
53.9167	-36.6529
53.9444	-36.7669
53.9722	-37.2357
54	-36.4534
54.0278	-36.4741
54.0556	-36.8134
54.0833	-36.7018
54.1111	-36.7167
54.1389	-36.7724
54.1667	-36.7359
54.1944	
54.2222	-36.3137
54.25	
54.2778	
54.3056	-35.5415
54.3333	-35.3447
54.3611	-34.9769
54.3889	-34.8213
54.4167	-35.0056
54.4444	
54.4722	-35.0784
54.5	-35.0758
54.5278	
54.5556	-35.2744
54.5833	-35.3318
54.6111	-35.3691
54.6389	-35.516
54.6667	
54.6944	-35.4928
54.7222	
54.75	-35.5051
54.7778	-35.4798
54.8056	-35.3584
54.8333	-35.2765
54.8611	-35.1502
54.8889	-34.957
54.9167	
54.9444	-34.963
54.9722	-34.9822
55	-35.4974
55.0278	-35.6595
55.0556	-35.4497
55.0833	-35.8801
55.1111	
55.1389	-35.8821
55.1667	
55.1944	
55.2222	
55.25	
55.2778	
55.3056	
55.3333	
55.3611	
55.3889	
55.4167	
55.4444	-36.5678
55.4722	-36.6025
55.5	-36.4161
55.5278	
55.5556	-35.9811
55.5833	-35.4544
55.6111	-35.3082
55.6389	-34.7571
55.6667	-34.518
55.6944	-34.3459
55.7222	
55.75	-34.25
55.7778	-34.1796
55.8056	-34.5935
55.8333	-34.4705
55.8611	-35.0083
55.8889	-35.1537
55.9167	-35.9072
55.9444	-35.9458
55.9722	-36.3124
56	-34.183
56.0278	-34.494
56.0556	-34.9031
56.0833	-34.883
56.1111	-35.3297
56.1389	-35.5279
56.1667	-35.651
56.1944	-36.2394
56.2222	-36.5869
56.25	-36.9378
56.2778	-37.2147
56.3056	-37.2688
56.3333	-37.3756
56.3611	-37.4887
56.3889	-37.6625
56.4167	
56.4444	-37.6452
56.4722	-37.4256
56.5	
56.5278	-37.1883
56.5556	-37.1782
56.5833	
56.6111	
56.6389	
56.6667	
56.6944	-36.0062
56.7222	-35.7539
56.75	
56.7778	
56.8056	
56.8333	-35.3001
56.8611	-35.394
56.8889	
56.9167	
56.9444	
56.9722	-35.4905
57	-34.7125
57.0278	-34.1911
57.0556	-33.6611
57.0833	
57.1111	-33.0417
57.1389	-33.0328
57.1667	
57.1944	-32.6605
57.2222	-32.6367
57.25	-32.6475
57.2778	-32.5984
57.3056	-32.7084
57.3333	-32.794
57.3611	-32.9953
57.3889	-33.1452
57.4167	-33.2341
57.4444	-33.582
57.4722	-33.7469
57.5	-33.8746
57.5278	-34.128
57.5556	-34.3551
57.5833	-34.7249
57.6111	-34.781
57.6389	-34.8767
57.6667	-35.0634
57.6944	-34.9016
57.7222	-34.6701
57.75	
57.7778	-34.579
57.8056	-34.2977
57.8333	-34.1367
57.8611	-34.052
57.8889	-33.953
57.9167	-33.997
57.9444	-33.9959
57.9722	-34.123
58	-38.3036
58.0278	-38.0954
58.0556	-38.6656
58.0833	-38.6428
58.1111	
58.1389	
58.1667	-38.1237
58.1944	
58.2222	-37.3067
58.25	-37.1578
58.2778	-36.8661
58.3056	-36.8557
58.3333	-36.6783
58.3611	-36.2095
58.3889	
58.4167	-35.4459
58.4444	-35.4682
58.4722	-35.751
58.5	-35.2886
58.5278	-35.7339
58.5556	-36.0044
58.5833	-36.258
58.6111	-36.3649
58.6389	-36.9014
58.6667	-37.0389
58.6944	-37.3787
58.7222	-37.4203
58.75	-37.6842
58.7778	-37.6598
58.8056	
58.8333	
58.8611	-37.0088
58.8889	-36.7924
58.9167	-36.4964
58.9444	-36.1805
58.9722	-35.1645
59	
59.0277	-34.6239
59.0554	-34.6807
59.0831	
59.1109	-35.089
59.1386	-35.042
59.1663	-35.3741
59.194	-35.6619
59.2217	-36.3215
59.2494	-36.7517
59.2771	-37.4658
59.3049	-37.7306
59.3326	-38.0626
59.3603	-38.8041
59.388	-38.6775
59.4157	-38.6959
59.4434	
59.4711	-38.5141
59.4989	-37.9533
59.5266	
59.5543	-37.5971
59.582	-37.7833
59.6097	-37.6333
59.6374	-37.2335
59.6651	
59.6929	-37.6135
59.7206	-37.2952
59.7483	-37.5281
59.776	-37.4901
59.8037	-37.0079
59.8314	-37.3176
59.8591	-36.8118
59.8869	-37.2911
59.9146	
59.9423	-37.6773
59.97	-37.9911
60	-38.7975
60.0278	-38.5977
60.0556	-38.6773
60.0833	-38.2486
60.1111	-38.4169
60.1389	-37.8074
60.1667	-37.3139
60.1944	-37.0913
60.2222	-36.615
60.25	-36.2217
60.2778	-35.8722
60.3056	-35.6677
60.3333	-35.3166
60.3611	
60.3889	-35.2244
60.4167	-35.0893
60.4444	
60.4722	-35.0083
60.5	-34.7948
60.5278	-34.8778
60.5556	-35.0459
60.5833	-35.0254
60.6111	-34.6739
60.6389	-34.8265
60.6667	-34.6128
60.6944	-34.8804
60.7222	
60.75	-35.0369
60.7778	-34.8564
60.8056	-34.5695
60.8333	-34.7611
60.8611	-34.4163
60.8889	-34.4578
60.9167	-34.3852
60.9444	-34.358
60.9722	-34.5302
61	-33.5315
61.0274	
61.0547	-34.0192
61.0821	
61.1095	-35.2103
61.1369	
61.1642	-35.9667
61.1916	-36.3785
61.219	-36.6328
61.2463	
61.2737	
61.3011	
61.3285	-37.5632
61.3558	
61.3832	-37.3329
61.4106	
61.4379	
61.4653	-37.3743
61.4927	-37.496
61.5201	-37.3062
61.5474	-37.285
61.5748	-37.2092
61.6022	
61.6295	-36.6991
61.6569	-36.4074
61.6843	-36.2921
61.7117	-36.1346
61.739	-36.004
61.7664	-35.8739
61.7938	-36.1033
61.8211	
61.8485	-36.7151
61.8759	-37.074
61.9033	
61.9306	-37.8236
61.958	-38.0778
61.979	-38.4587
62	
62.0277	
62.0554	-36.3611
62.0831	
62.1109	
62.1386	
62.1663	
62.194	-36.4492
62.2217	
62.2494	
62.2771	
62.3049	
62.3326	
62.3603	
