depth	cond
21.907	356
21.91	356
21.913	362
21.917	358
21.92	358
21.923	358
21.927	358
21.93	354
21.933	348
21.937	332
21.94	336
21.943	332
21.947	336
21.95	336
21.953	336
21.957	336
21.96	338
21.963	338
21.967	338
21.97	340
21.973	340
21.977	340
21.98	340
21.983	338
21.987	334
21.99	334
21.993	332
21.997	332
22	330
22.003	130
22.007	304
22.01	346
22.013	334
22.017	342
22.02	340
22.023	356
22.027	364
22.03	364
22.033	362
22.037	372
22.04	368
22.043	368
22.047	376
22.05	372
22.053	376
22.057	370
22.06	368
22.063	358
22.067	358
22.07	358
22.073	360
22.077	360
22.08	362
22.083	364
22.087	362
22.09	362
22.093	362
22.097	358
22.1	360
22.103	360
22.107	356
22.11	354
22.113	356
22.117	348
22.12	350
22.123	340
22.127	336
22.13	332
22.133	322
22.137	326
22.14	326
22.143	322
22.147	322
22.15	318
22.153	310
22.157	310
22.16	312
22.163	310
22.167	310
22.17	312
22.173	312
22.177	318
22.18	320
22.183	320
22.187	322
22.19	318
22.193	320
22.197	318
22.2	318
22.203	306
22.207	304
22.21	310
22.213	308
22.217	310
22.22	306
22.223	302
22.227	302
22.23	298
22.233	294
22.237	296
22.24	296
22.243	290
22.247	288
22.25	288
22.253	286
22.257	288
22.26	286
22.263	280
22.267	278
22.27	278
22.273	276
22.277	276
22.28	274
22.283	262
22.287	262
22.29	266
22.293	266
22.297	266
22.3	268
22.303	262
22.307	258
22.31	256
22.313	256
22.317	256
22.32	256
22.323	252
22.327	256
22.33	254
22.333	260
22.337	256
22.34	258
22.343	264
22.347	268
22.35	282
22.353	280
22.357	280
22.36	282
22.363	288
22.367	284
22.37	288
22.373	290
22.377	292
22.38	292
22.383	298
22.387	300
22.39	302
22.393	302
22.397	302
22.4	302
22.403	280
22.407	280
22.41	278
22.413	278
22.417	280
22.42	278
22.423	274
22.427	284
22.43	284
22.433	280
22.437	280
22.44	282
22.443	282
22.447	278
22.45	280
22.453	280
22.457	288
22.46	290
22.463	292
22.467	292
22.47	288
22.473	290
22.477	288
22.48	292
22.483	282
22.487	276
22.49	276
22.493	276
22.497	280
22.5	278
22.503	324
22.507	326
22.51	328
22.513	324
22.517	322
22.52	320
22.523	316
22.527	316
22.53	312
22.533	312
22.537	312
22.54	312
22.543	308
22.547	306
22.55	306
22.553	308
22.557	304
22.56	306
22.563	306
22.567	298
22.57	300
22.573	298
22.577	294
22.58	294
22.583	290
22.587	290
22.59	278
22.593	268
22.597	270
22.6	262
22.603	260
22.607	262
22.61	272
22.613	270
22.617	272
22.62	290
22.623	296
22.627	306
22.63	310
22.633	308
22.637	308
22.64	306
22.643	304
22.647	308
22.65	312
22.653	316
22.657	314
22.66	316
22.663	316
22.667	312
22.67	308
22.673	310
22.677	312
22.68	308
22.683	300
22.687	308
22.69	312
22.693	312
22.697	312
22.7	316
22.703	318
22.707	316
22.71	320
22.713	322
22.717	322
22.72	322
22.723	324
22.727	332
22.73	334
22.733	336
22.737	336
22.74	336
22.743	338
22.747	338
22.75	342
22.753	344
22.757	344
22.76	346
22.763	348
22.767	348
22.77	344
22.773	344
22.777	336
22.78	340
22.783	338
22.787	340
22.79	326
22.793	310
22.797	312
22.8	312
22.803	324
22.807	334
22.81	336
22.813	332
22.817	330
22.82	330
22.823	330
22.827	328
22.83	326
22.833	324
22.837	326
22.84	330
22.843	332
22.847	336
22.85	334
22.853	334
22.857	332
22.86	330
22.863	330
22.867	334
22.87	326
22.873	328
22.877	326
22.88	336
22.883	340
22.887	336
22.89	336
22.893	332
22.897	334
22.9	334
22.903	334
22.907	334
22.91	328
22.913	328
22.917	326
22.92	324
22.923	318
22.927	314
22.93	314
22.933	314
22.937	314
22.94	310
22.943	308
22.947	312
22.95	308
22.953	310
22.957	310
22.96	306
22.963	304
22.967	304
22.97	300
22.973	300
22.977	300
22.98	300
22.983	294
22.987	292
22.99	290
22.993	286
22.997	288
23	290
23.003	150
23.007	196
23.01	268
23.013	300
23.017	326
23.02	324
23.023	324
23.027	322
23.03	324
23.033	316
23.037	314
23.04	310
23.043	304
23.047	304
23.05	304
23.053	302
23.057	306
23.06	296
23.063	298
23.067	296
23.07	296
23.073	298
23.077	296
23.08	298
23.083	296
23.087	298
23.09	302
23.093	304
23.097	306
23.1	306
23.103	310
23.107	318
23.11	316
23.113	316
23.117	316
23.12	316
23.123	314
23.127	310
23.13	310
23.133	310
23.137	310
23.14	310
23.143	308
23.147	310
23.15	302
23.153	306
23.157	304
23.16	308
23.163	300
23.167	300
23.17	296
23.173	296
23.177	296
23.18	294
23.183	292
23.187	280
23.19	272
23.193	266
23.197	262
23.2	262
23.203	262
23.207	260
23.21	262
23.213	264
23.217	262
23.22	260
23.223	266
23.227	270
23.23	272
23.233	272
23.237	280
23.24	276
23.243	276
23.247	288
23.25	288
23.253	288
23.257	296
23.26	302
23.263	298
23.267	292
23.27	292
23.273	284
23.277	284
23.28	284
23.283	278
23.287	280
23.29	274
23.293	274
23.297	274
23.3	274
23.303	264
23.307	256
23.31	250
23.313	246
23.317	246
23.32	242
23.323	234
23.327	230
23.33	226
23.333	224
23.337	226
23.34	226
23.343	220
23.347	224
23.35	222
23.353	222
23.357	220
23.36	224
23.363	226
23.367	234
23.37	234
23.373	234
23.377	234
23.38	234
23.383	240
23.387	252
23.39	250
23.393	252
23.397	256
23.4	256
23.403	256
23.407	256
23.41	254
23.413	254
23.417	256
23.42	256
23.423	254
23.427	252
23.43	248
23.433	246
23.437	236
23.44	234
23.443	224
23.447	208
23.45	202
23.453	200
23.457	198
23.46	198
23.463	202
23.467	210
23.47	210
23.473	220
23.477	220
23.48	230
23.483	242
23.487	250
23.49	254
23.493	256
23.497	260
23.5	260
23.503	238
23.507	246
23.51	246
23.513	250
23.517	252
23.52	254
23.523	258
23.527	260
23.53	268
23.533	270
23.537	270
23.54	272
23.543	270
23.547	272
23.55	276
23.553	276
23.557	278
23.56	280
23.563	280
23.567	280
23.57	280
23.573	284
23.577	282
23.58	282
23.583	276
23.587	282
23.59	282
23.593	284
23.597	282
23.6	282
23.603	284
23.607	282
23.61	282
23.613	274
23.617	266
23.62	264
23.623	258
23.627	246
23.63	244
23.633	244
23.637	242
23.64	232
23.643	222
23.647	208
23.65	200
23.653	202
23.657	200
23.66	196
23.663	194
23.667	198
23.67	202
23.673	212
23.677	210
23.68	230
23.683	234
23.687	236
23.69	236
23.693	248
23.697	248
23.7	252
23.703	254
23.707	258
23.71	258
23.713	260
23.717	258
23.72	260
23.723	264
23.727	268
23.73	270
23.733	278
23.737	284
23.74	284
23.743	282
23.747	276
23.75	260
23.753	244
23.757	244
23.76	246
23.763	246
23.767	246
23.77	254
23.773	262
23.777	264
23.78	264
23.783	264
23.787	264
23.79	260
23.793	266
23.797	266
23.8	264
23.803	270
23.807	270
23.81	276
23.813	280
23.817	280
23.82	276
23.823	274
23.827	274
23.83	270
23.833	270
23.837	272
23.84	272
23.843	270
23.847	266
23.85	266
23.853	264
23.857	264
23.86	260
23.863	264
23.867	264
23.87	264
23.873	266
23.877	268
23.88	264
23.883	266
23.887	266
23.89	274
23.893	274
23.897	272
23.9	272
23.903	274
23.907	272
23.91	282
23.913	284
23.917	284
23.92	286
23.923	292
23.927	294
23.93	292
23.933	292
23.937	294
23.94	296
23.943	296
23.947	298
23.95	298
23.953	302
23.957	304
23.96	302
23.963	302
23.967	302
23.97	298
23.973	296
23.977	296
23.98	296
23.983	296
23.987	296
23.99	296
23.993	294
23.997	294
24	292
24.003	94
24.007	194
24.01	272
24.013	274
24.017	308
24.02	318
24.023	330
24.027	344
24.03	354
24.033	358
24.037	354
24.04	362
24.043	364
24.047	366
24.05	366
24.053	372
24.057	378
24.06	370
24.063	350
24.067	322
24.07	314
24.073	308
24.077	306
24.08	306
24.083	290
24.087	288
24.09	318
24.093	324
24.097	324
24.1	324
24.103	332
24.107	342
24.11	348
24.113	350
24.117	354
24.12	364
24.123	354
24.127	370
24.13	378
24.133	378
24.137	386
24.14	384
24.143	378
24.147	376
24.15	374
24.153	370
24.157	370
24.16	368
24.163	366
24.167	368
24.17	366
24.173	362
24.177	362
24.18	358
24.183	358
24.187	354
24.19	352
24.193	354
24.197	358
24.2	362
24.203	360
24.207	346
24.21	354
24.213	352
24.217	352
24.22	352
24.223	350
24.227	350
24.23	340
24.233	338
24.237	336
24.24	338
24.243	340
24.247	344
24.25	340
24.253	348
24.257	346
24.26	348
24.263	346
24.267	350
24.27	344
24.273	346
24.277	344
24.28	344
24.283	348
24.287	346
24.29	346
24.293	342
24.297	340
24.3	340
24.303	332
24.307	328
24.31	326
24.313	328
24.317	328
24.32	326
24.323	322
24.327	316
24.33	314
24.333	316
24.337	318
24.34	318
24.343	310
24.347	316
24.35	318
24.353	322
24.357	328
24.36	326
24.363	320
24.367	318
24.37	316
24.373	316
24.377	318
24.38	318
24.383	318
24.387	316
24.39	312
24.393	310
24.397	310
24.4	306
24.403	304
24.407	300
24.41	302
24.413	298
24.417	296
24.42	292
24.423	296
24.427	294
24.43	294
24.433	296
24.437	298
24.44	302
24.443	296
24.447	296
24.45	290
24.453	288
24.457	286
24.46	282
24.463	282
24.467	280
24.47	280
24.473	280
24.477	282
24.48	282
24.483	282
24.487	278
24.49	280
24.493	282
24.497	284
24.5	282
24.503	272
24.507	268
24.51	264
24.513	262
24.517	262
24.52	264
24.523	262
24.527	260
24.53	260
24.533	260
24.537	260
24.54	260
24.543	260
24.547	260
24.55	260
24.553	262
24.557	262
24.56	260
24.563	258
24.567	256
24.57	252
24.573	250
24.577	248
24.58	244
24.583	244
24.587	242
24.59	240
24.593	238
24.597	236
24.6	234
24.603	232
24.607	232
24.61	228
24.613	224
24.617	220
24.62	220
24.623	214
24.627	210
24.63	198
24.633	184
24.637	180
24.64	178
24.643	180
24.647	178
24.65	178
24.653	174
24.657	176
24.66	174
24.663	172
24.667	174
24.67	178
24.673	180
24.677	178
24.68	182
24.683	182
24.687	186
24.69	192
24.693	200
24.697	204
24.7	214
24.703	216
24.707	222
24.71	222
24.713	226
24.717	232
24.72	238
24.723	240
24.727	244
24.73	258
24.733	258
24.737	258
24.74	262
24.743	262
24.747	264
24.75	268
24.753	272
24.757	280
24.76	284
24.763	286
24.767	292
