iceDepth	density	weDepth	d18O
94.42	882.3529411764952	66.66	-33.2
94.59	875.0000000000222	66.81	-33.2
94.75	937.4999999999667	66.95	-34.5
94.91	823.529411764701	67.1	-36.3
95.08	937.5000000000555	67.24	-35.8
95.24	823.529411764701	67.39	-34.2
95.41	875.0000000000222	67.53	-33.1
95.57	937.4999999998835	67.67	-35.2
95.73	823.529411764701	67.82	-34.6
95.9	937.5000000000555	67.96	-34.2
96.06	875.0000000000222	68.11	-36.9
96.22	823.529411764701	68.25	-36.4
96.39	937.5000000000555	68.39	-34.9
96.55	823.529411764701	68.54	-34.8
96.72	937.4999999999667	68.68	-34.8
96.88	874.9999999999445	68.83	-36.2
97.04	882.352941176569	68.97	-36.3
97.21	874.9999999999445	69.12	-34.5
97.37	875.0000000000222	69.26	-33.6
97.53	882.3529411764116	69.4	-34.0
97.7	875.0000000000222	69.55	-34.7
97.86	937.5000000000555	69.69	-34.2
98.02	823.529411764701	69.84	-33.9
98.19	875.0000000000222	69.98	-35.6
98.35	937.4999999998835	70.12	-35.2
98.51	823.529411764701	70.27	-35.5
98.68	937.5000000000555	70.41	-33.6
98.84	875.0000000000222	70.56	-33.0
99.0	937.4999999999667	70.7	-33.9
99.16	823.529411764701	70.85	-37.3
99.33	875.0000000000222	70.99	-31.8
99.49	937.4999999999723	71.13	-31.6
99.65	823.5294117647697	71.28	-32.5
99.82	937.4999999998835	71.42	-34.0
99.98	875.0000000000222	71.57	-33.6
100.14	937.5000000000555	71.71	-33.5
100.3	823.529411764701	71.86	-34.0
100.47	875.0000000000222	72.0	-33.1
100.63	937.4999999999723	72.14	-32.1
100.79	823.5294117647697	72.29	-33.4
100.96	937.4999999998835	72.43	-33.6
101.12	875.0000000000222	72.58	-33.8
101.28	875.0000000000222	72.72	-33.0
101.44	882.3529411764952	72.86	-33.1
101.61	875.0000000000222	73.01	-33.8
101.77	937.4999999998835	73.15	-35.5
101.93	875.0000000000222	73.3	-36.4
102.09	882.3529411764952	73.44	-35.1
102.26	875.0000000000222	73.59	-33.4
102.42	875.0000000000222	73.73	-35.1
102.58	937.4999999999667	73.87	-35.9
102.74	874.9999999999445	74.02	-34.3
102.9	882.352941176569	74.16	-34.4
103.07	874.9999999999445	74.31	-35.0
103.23	875.0000000000222	74.45	-34.9
103.39	937.4999999999667	74.59	-35.5
103.55	823.529411764701	74.74	-32.9
103.72	937.5000000000555	74.88	-33.4
103.88	874.9999999999445	75.03	-34.7
104.04	937.4999999999667	75.17	-33.4
104.2	875.0000000000222	75.32	-33.3
104.36	823.529411764701	75.46	-34.2
104.53	937.5000000000555	75.6	-35.0
104.69	875.0000000000222	75.75	-35.5
104.85	937.4999999999723	75.89	-35.1
105.01	875.0000000000222	76.04	-34.9
105.17	874.9999999999334	76.18	-35.5
105.33	882.3529411764952	76.32	-34.3
105.5	875.0000000000222	76.47	-33.6
105.66	937.5000000000555	76.61	-34.8
105.82	874.9999999999445	76.76	-35.6
105.98	937.4999999999667	76.9	-34.2
106.14	875.0000000000222	77.05	-34.8
106.3	823.529411764701	77.19	-34.8
106.47	937.5000000000555	77.33	-34.3
106.63	874.9999999999445	77.48	-35.4
106.79	937.4999999999667	77.62	-37.1
106.95	875.0000000000222	77.77	-36.0
107.11	937.5000000000555	77.91	-34.6
107.27	823.529411764701	78.06	-33.3
107.44	875.0000000000222	78.2	-34.4
107.6	937.4999999998835	78.34	-35.3
107.76	875.0000000000222	78.49	-32.8
107.92	937.5000000000555	78.63	-33.1
108.08	875.0000000000222	78.78	-33.8
108.24	874.9999999999445	78.92	-35.5
108.4	882.3529411764853	79.06	-35.4
108.57	874.9999999999445	79.21	-34.0
108.73	937.5000000000555	79.35	-32.8
108.89	875.0000000000222	79.5	-35.0
109.05	937.5000000000555	79.64	-34.9
109.21	874.9999999999445	79.79	-35.6
109.37	874.9999999999334	79.93	-35.2
109.53	937.5000000000555	80.07	-33.3
109.69	875.0000000000222	80.22	-32.9
109.85	882.3529411764952	80.36	-35.2
110.02	874.9999999999445	80.51	-36.2
110.18	875.0000000000222	80.65	-35.3
110.34	937.4999999999667	80.79	-34.9
110.5	875.0000000000222	80.94	-34.6
110.66	937.5000000000555	81.08	-36.0
110.82	874.9999999999445	81.23	-34.3
110.98	937.4999999999667	81.37	-32.8
111.14	875.0000000000222	81.52	-33.8
