Run_ID	Bag	sample	Depth	d17	d18	dD
HKDS2004_Fast_IsoWater_20180725_071416	1008	22	554.400	-19.4382	-36.6476	-284.8544
HKDS2004_Fast_IsoWater_20180725_071416	1009	1	554.425	-19.3793	-36.6272	-284.0707
HKDS2004_Fast_IsoWater_20180725_071416	1009	2	554.450	-19.5052	-36.7234	-284.2669
HKDS2004_Fast_IsoWater_20180725_071416	1009	3	554.475	-19.5352	-36.8082	-285.4305
HKDS2004_Fast_IsoWater_20180725_071416	1009	4	554.500	-19.5764	-36.9883	-287.0333
HKDS2004_Fast_IsoWater_20180725_071416	1009	5	554.525	-19.7619	-37.2183	-288.9678
HKDS2004_Fast_IsoWater_20180725_071416	1009	6	554.550	-19.9024	-37.4477	-290.8319
HKDS2004_Fast_IsoWater_20180725_071416	1009	7	554.575	-19.8706	-37.5155	-292.8518
HKDS2004_Fast_IsoWater_20180725_071416	1009	8	554.600	-19.8186	-37.4886	-293.0632
HKDS2004_Fast_IsoWater_20180725_071416	1009	9	554.625	-19.7178	-37.1774	-290.4894
HKDS2004_Fast_IsoWater_20180725_071416	1009	10	554.650	-19.5364	-36.7781	-286.4277
HKDS2004_Fast_IsoWater_20180725_071416	1009	11	554.675	-19.2079	-36.2945	-282.3282
HKDS2004_Fast_IsoWater_20180725_071416	1009	12	554.700	-19.0785	-35.8870	-277.6200
HKDS2004_Fast_IsoWater_20180725_071416	1009	13	554.725	-18.6407	-35.1653	-271.6130
HKDS2004_Fast_IsoWater_20180725_071416	1009	14	554.750	-18.3359	-34.6449	-267.8925
HKDS2004_Fast_IsoWater_20180725_071416	1009	15	554.775	-18.3050	-34.5175	-265.8237
HKDS2004_Fast_IsoWater_20180725_071416	1009	16	554.800	-18.2143	-34.4293	-265.3393
HKDS2004_Fast_IsoWater_20180725_071416	1009	17	554.825	-18.3557	-34.5390	-266.5470
HKDS2004_Fast_IsoWater_20180725_071416	1009	18	554.850	-18.4984	-34.8685	-270.1085
HKDS2004_Fast_IsoWater_20180725_071416	1009	19	554.875	-18.6609	-35.2421	-273.0768
HKDS2004_Fast_IsoWater_20180725_071416	1009	20	554.900	-18.8555	-35.5447	-276.5342
HKDS2004_Fast_IsoWater_20180725_071416	1009	21	554.925	-19.0949	-35.9845	-279.5428
