depth	d18O
48.49	-33.7
48.535	-34.86
48.58	-36.17
48.625	-36.9
48.67	-36.42
48.715	-35.54
48.76	-34.22
48.804	-33.23
48.849	-32.53
48.894	-32.77
48.939	-33.32
48.984	-33.31
49.028	-32.91
49.073	-32.4
49.118	-32.03
49.163	-32.42
49.207	-33.29
49.252	-33.98
49.297	-34.61
49.341	-34.69
49.386	-34.67
49.431	-34.19
49.475	-34.11
49.52	-33.45
49.565	-33.15
49.609	-32.95
49.654	-32.89
49.698	-33.3
49.743	-32.92
49.787	-33.01
49.832	-33.1
49.876	-32.86
49.921	-33.11
49.965	-33.42
50.01	-34.2
50.054	-34.88
50.099	-35.09
50.143	-34.86
50.188	-34.64
50.232	-34.36
50.277	-34.21
50.321	-33.76
50.365	-33.25
50.41	-32.18
50.454	-31.61
50.499	-31.7
50.543	-32.62
50.587	-33.68
50.632	-34.91
50.676	-35.31
50.72	-34.66
50.764	-33.74
50.809	-32.7
50.853	-31.96
50.897	-31.46
50.941	-31.62
50.986	-32.27
51.03	-33.07
51.074	-33.87
51.118	-34.26
51.163	-34.41
51.207	-34.01
51.251	-33.27
51.295	-33.12
51.339	-34
51.383	-34.82
51.427	-35.59
51.471	-35.7
51.516	-35.24
51.56	-34.52
51.604	-34.2
51.648	-34.13
51.692	-34.67
51.736	-35.09
51.78	-35.39
51.824	-34.81
51.868	-33.7
51.912	-32.43
51.956	-31.29
52	-31.08
52.044	-31.4
52.087	-32.31
52.131	-33.81
52.175	-34.44
52.219	-34.72
52.263	-34.16
52.307	-33.27
52.351	-32.22
52.395	-31.76
52.439	-31.93
52.482	-32.77
52.526	-33.58
52.57	-33.6
52.614	-33.23
52.658	-32.49
52.701	-31.59
52.745	-31.25
52.789	-31.6
52.833	-32.73
52.876	-34.14
52.92	-35.17
52.964	-35.52
53.007	-35.34
53.051	-34.74
53.095	-34.33
53.138	-33.96
53.182	-34.56
53.226	-35.38
53.269	-36.05
53.313	-36.28
53.357	-35.94
53.4	-34.97
53.444	-33.82
53.487	-33.09
53.531	-32.98
53.574	-33.26
53.618	-33.22
53.662	-32.82
53.705	-32.29
53.749	-31.67
53.792	-31.23
53.836	-30.83
53.879	-30.98
53.922	-31.39
53.966	-32.01
54.009	-32.84
54.053	-33.11
54.096	-33.21
54.14	-33
54.183	-32.63
54.226	-32.33
54.27	-32.1
54.313	-31.98
54.357	-31.79
54.4	-31.75
54.443	-31.65
54.486	-31.88
54.53	-32.62
54.573	-33.02
54.616	-33.48
54.66	-33.58
54.703	-33.41
54.746	-33.55
54.789	-33.33
54.833	-33.69
54.876	-34.83
54.919	-37.72
54.962	-36.65
55.006	-36.9
55.049	-36.38
55.092	-35.81
55.135	-35.25
55.178	-35.04
55.221	-35.29
55.264	-35.48
55.308	-35.18
55.351	-34.45
55.394	-33.66
55.437	-32.82
55.48	-32.39
55.523	-32.44
55.566	-32.97
55.609	-33.88
55.652	-35.16
55.695	-35.82
55.738	-36.09
55.781	-35.88
55.824	-35.61
55.867	-35.15
55.91	-34.91
55.953	-35
55.996	-35.73
56.039	-36.45
56.082	-36.28
56.125	-36.2
56.168	-35.81
56.211	-35.49
56.253	-34.69
56.296	-34.63
56.339	-35.11
56.382	-35.5
56.425	-35.57
56.468	-35.25
56.511	-34.6
56.553	-34.09
56.596	-33.99
56.639	-33.89
56.682	-33.65
56.725	-33.03
56.767	-32.37
56.81	-31.83
56.853	-31.38
56.896	-31.77
56.938	-32.95
56.981	-34.24
57.024	-34.98
57.067	-34.98
57.109	-34.66
57.152	-34.23
57.195	-33.88
57.237	-34.17
57.28	-34.6
57.322	-35.4
57.365	-35.7
57.408	-35.37
57.45	-34.58
57.493	-33.86
57.536	-32.99
57.578	-32.33
57.621	-32.13
57.663	-32.11
57.706	-31.9
57.748	-31.83
57.791	-31.34
57.833	-30.96
57.876	-30.62
57.918	-30.74
57.961	-31.42
58.003	-31.94
58.046	-32.28
58.088	-32.59
58.131	-32.92
58.173	-33.13
58.216	-33.71
58.258	-34.7
58.3	-35.83
58.343	-36.42
58.385	-36.85
58.428	-36.68
58.47	-36.74
58.512	-36.13
58.555	-35.14
58.597	-34.13
58.639	-33.41
58.682	-32.89
58.724	-32.85
58.766	-32.97
58.809	-33.01
58.851	-32.77
58.893	-32.39
58.936	-32.01
58.978	-31.86
59.02	-32.32
59.062	-32.76
59.105	-33.22
59.147	-33.45
59.189	-33.36
59.231	-32.97
59.273	-32.63
59.316	-32.56
59.358	-32.96
59.4	-33.44
59.442	-33.71
59.484	-33.9
59.526	-33.75
59.569	-33.61
59.611	-33.22
59.653	-33.4
59.695	-33.64
59.737	-33.64
59.779	-33.88
59.821	-33.76
59.863	-33.47
59.905	-33.48
59.947	-33.15
59.989	-33.57
60.031	-34.44
60.073	-34.65
60.115	-34.88
60.157	-34.84
60.199	-34.56
60.241	-34.69
60.283	-35.08
60.325	-35.64
60.367	-35.53
60.409	-34.98
60.451	-33.99
60.493	-33.07
60.535	-32.43
60.577	-31.92
60.619	-32.11
60.661	-32.71
60.703	-33.09
60.745	-33.53
60.786	-33.5
60.828	-33.2
60.87	-32.69
60.912	-32.71
60.954	-32.6
60.996	-33.36
61.037	-33.77
61.079	-33.84
61.121	-33.27
61.163	-32.68
61.205	-32.2
61.246	-31.68
61.288	-32.29
61.33	-33.56
61.372	-34.66
61.413	-35.57
61.455	-35.81
61.497	-35.99
61.539	-35.71
61.58	-35.98
61.622	-36.44
61.664	-37.41
61.705	-37.77
61.747	-37.67
61.789	-37.08
61.83	-36.02
61.872	-34.74
61.913	-33.84
61.955	-33.1
61.997	-32.73
62.038	-32.58
62.08	-32.21
62.122	-31.83
62.163	-31.28
62.205	-31.15
62.246	-31.52
62.288	-32.46
62.329	-33.06
62.371	-33.18
62.412	-32.51
62.454	-31.62
62.495	-30.98
62.537	-31.01
62.578	-31.32
62.62	-32
62.661	-32.82
62.703	-33.16
62.744	-33.28
62.786	-32.7
62.827	-32.04
62.869	-31.39
62.91	-31
62.951	-31.14
62.993	-32.02
63.034	-33.16
63.076	-34.25
63.117	-34.93
63.158	-34.88
63.2	-34.47
63.241	-33.95
63.282	-33.43
63.324	-33.82
63.365	-34.67
63.407	-35.44
63.448	-35.69
63.489	-35.23
63.53	-34.63
63.572	-34.18
63.613	-33.97
63.654	-34.36
63.696	-34.81
63.737	-34.77
63.778	-34.5
63.819	-33.86
63.861	-33.26
63.902	-32.9
63.943	-33.49
63.984	-34.4
64.025	-34.88
64.067	-35.09
64.108	-35.08
64.149	-34.92
64.19	-35.17
64.231	-35.9
64.272	-36.05
64.314	-36.1
64.355	-35.96
64.396	-35.57
64.437	-35.49
64.478	-35.6
64.519	-36.31
64.56	-37.57
64.601	-38.12
64.642	-38.16
64.684	-37.78
64.725	-36.36
64.766	-35.29
64.807	-34.57
64.848	-34.51
64.889	-35.21
64.93	-35.65
64.971	-35.63
65.012	-35.14
65.053	-34.21
65.094	-33.18
65.135	-32.67
65.176	-32.86
65.217	-33.7
65.258	-34.69
65.299	-35.1
65.34	-35.3
65.381	-34.95
65.422	-34.31
65.463	-33.56
65.503	-32.76
65.544	-32.43
65.585	-32.3
65.626	-32.47
65.667	-32.8
65.708	-32.89
65.749	-32.41
65.79	-31.76
65.83	-31.11
65.871	-30.4
65.912	-30.24
65.953	-30.54
65.994	-30.96
66.035	-32.12
66.075	-33.56
66.116	-34.42
66.157	-34.84
66.198	-34.83
66.239	-34.4
66.279	-34.05
66.32	-33.52
66.361	-33.54
66.402	-33.55
66.442	-33.62
66.483	-33.72
66.524	-33.71
66.565	-33.75
66.605	-33.6
66.646	-33.35
66.687	-33.36
66.727	-33.22
66.768	-33.44
66.809	-33.47
66.849	-33.45
66.89	-33.1
66.931	-32.58
66.971	-31.96
67.012	-31.5
67.053	-31.67
67.093	-32.17
67.134	-32.91
67.174	-33.81
67.215	-33.91
67.256	-33.82
67.296	-33.52
67.337	-33.2
67.377	-33.12
67.418	-33.26
67.458	-34.14
67.499	-35.13
67.54	-35.65
67.58	-35.65
67.621	-35.31
67.661	-34.75
